controllerToClosetCandies,
,0.6260038
,0.6241631
,0.6217309
,0.6193356
,0.61677
,0.6144388
,0.6118704
,0.6091005
,0.606187
,0.6033168
,0.6003749
,0.5972272
,0.5940756
,0.5906484
,0.5872878
,0.5838843
,0.5804315
,0.5770919
,0.5736252
,0.5701545
,0.5664836
,0.5635178
,0.5604611
,0.5572207
,0.5549096
,0.5522391
,0.5499478
,0.5484213
,0.5461082
,0.5444755
,0.543817
,0.5421883
,0.5413702
,0.5410572
,0.540657
,0.5398989
,0.5400777
,0.5401718
,0.5398552
,0.5399455
,0.5396012
,0.5399732
,0.540567
,0.5378109
,0.5383901
,0.5389345
,0.5389971
,0.5398372
,0.5407948
,0.5405346
,0.5413083
,0.5425237
,0.5431769
,0.542957
,0.5437437
,0.5440475
,0.544224
,0.5448734
,0.544574
,0.5447065
,0.5451049
,0.5439525
,0.5439827
,0.5445603
,0.5445053
,0.5451626
,0.5452056
,0.5452817
,0.5448804
,0.5456214
,0.5451216
,0.5459316
,0.5459897
,0.5458668
,0.5465826
,0.5464477
,0.5465243
,0.5469024
,0.5467024
,0.545348
,0.5456019
,0.5452937
,0.5450048
,0.5451162
,0.5447357
,0.5435228
,0.5435662
,0.5431156
,0.5417265
,0.5420232
,0.5416524
,0.5415881
,0.5416178
,0.541371
,0.5307158
,0.5316082
,0.5317531
,0.5331174
,0.5333453
,0.5337043
,0.5348024
,0.5352253
,0.5356932
,0.536631
,0.5370781
,0.5373181
,0.538047
,0.538313
,0.5324876
,0.533204
,0.528668
,0.5286503
,0.5292659
,0.5292514
,0.5251523
,0.5259632
,0.5223336
,0.5223012
,0.5231544
,0.5204467
,0.5202765
,0.5209367
,0.5187597
,0.518422
,0.5190327
,0.5161521
,0.5158399
,0.5164704
,0.5151615
,0.5148617
,0.5154878
,0.5132787
,0.5138571
,0.5135713
,0.5123558
,0.5120716
,0.5128409
,0.5113214
,0.5110362
,0.5117362
,0.5122985
,0.5129435
,0.5126218
,0.5132192
,0.5128925
,0.5134512
,0.5141307
,0.5137736
,0.5145107
,0.5149669
,0.5145821
,0.5149227
,0.514935
,0.5155551
,0.5151882
,0.5153232
,0.514944
,0.5155159
,0.5157049
,0.5162739
,0.5158671
,0.5160997
,0.5167239
,0.516337
,0.5163261
,0.5169052
,0.5165396
,0.5164731
,0.5171028
,0.5168535
,0.5170946
,0.5168909
,0.5175931
,0.518021
,0.5188503
,0.5187968
,0.5192236
,0.5199389
,0.5199544
,0.5202411
,0.520289
,0.521236
,0.5214582
,0.5224049
,0.5225893
,0.5230805
,0.5240313
,0.5241932
,0.524765
,0.5254524
,0.5256822
,0.5262281
,0.5271006
,0.527353
,0.5278711
,0.5287426
,0.5289716
,0.5292746
,0.5299788
,0.530162
,0.5304902
,0.5314782
,0.5316952
,0.5317
,0.5326201
,0.5327976
,0.5328515
,0.5334762
,0.5336421
,0.533559
,0.5339857
,0.5341377
,0.534171
,0.5346155
,0.5348443
,0.5349901
,0.5356709
,0.5359314
,0.5359499
,0.5367469
,0.5370051
,0.5370472
,0.53767
,0.5379497
,0.5378368
,0.5386215
,0.5388651
,0.5385402
,0.538788
,0.5390325
,0.5386208
,0.539526
,0.5398021
,0.5393265
,0.5400936
,0.5403335
,0.5398458
,0.5402831
,0.5405037
,0.5400656
,0.5406326
,0.5407832
,0.5404193
,0.5408203
,0.5409654
,0.540738
,0.5410769
,0.5412744
,0.5412923
,0.5418814
,0.5421103
,0.5419883
,0.5425081
,0.5426406
,0.5425934
,0.5428396
,0.5429139
,0.5426858
,0.5430408
,0.5429758
,0.5425423
,0.5428228
,0.5427067
,0.5422229
,0.5422933
,0.5422085
,0.5418132
,0.5419536
,0.5418663
,0.5414982
,0.5415921
,0.5414849
,0.54098
,0.5408431
,0.5407221
,0.540247
,0.5402907
,0.5401673
,0.5397053
,0.5398232
,0.5391375
,0.5390086
,0.5391156
,0.5384833
,0.5383457
,0.5385481
,0.5384027
,0.5376536
,0.5377147
,0.5370298
,0.5369307
,0.5373289
,0.5369446
,0.5369229
,0.5370198
,0.5366582
,0.5364249
,0.5364258
,0.5361415
,0.5362159
,0.5362157
,0.5358554
,0.5358679
,0.5363973
,0.5361563
,0.5361827
,0.5362054
,0.5358891
,0.5361332
,0.5360913
,0.535634
,0.5356092
,0.5356929
,0.5352671
,0.5353202
,0.5353085
,0.5348702
,0.5348399
,0.53497
,0.5344967
,0.5344243
,0.5346066
,0.5342242
,0.5341377
,0.534443
,0.5339921
,0.5340341
,0.5338809
,0.5333223
,0.5331693
,0.5329435
,0.5324522
,0.5321501
,0.5319701
,0.5314159
,0.5312471
,0.531126
,0.5305867
,0.5305371
,0.5304138
,0.5299905
,0.5301988
,0.5300896
,0.5296298
,0.5295873
,0.5294868
,0.5290833
,0.52896
,0.5291284
,0.5288644
,0.5289341
,0.5289066
,0.5286701
,0.5286323
,0.5286723
,0.5284075
,0.5284958
,0.5285506
,0.5281522
,0.52827
,0.5282968
,0.5279726
,0.5279959
,0.5281946
,0.5278742
,0.5279469
,0.5279901
,0.527738
,0.5280426
,0.528086
,0.5278819
,0.5283325
,0.5283645
,0.5282804
,0.5282292
,0.5282747
,0.5281159
,0.5282393
,0.5282915
,0.5281658
,0.5284694
,0.5284845
,0.5281818
,0.5284715
,0.5285088
,0.5280902
,0.5285611
,0.5285781
,0.5282195
,0.5282997
,0.5283356
,0.5278671
,0.5281076
,0.5281484
,0.5277539
,0.5278845
,0.5278663
,0.5274438
,0.527819
,0.5278143
,0.5275771
,0.5280741
,0.528075
,0.527988
,0.5280385
,0.5280626
,0.5279595
,0.5281228
,0.5279385
,0.527908
,0.5284691
,0.5284413
,0.5281945
,0.5287235
,0.5285484
,0.5285216
,0.5289198
,0.5289167
,0.5287513
,0.5288412
,0.5289081
,0.5287646
,0.5290168
,0.5291086
,0.5289128
,0.5293093
,0.5293412
,0.5290117
,0.5292047
,0.5291685
,0.5287126
,0.5292149
,0.5291631
,0.5286426
,0.5286953
,0.5286434
,0.5281549
,0.5285303
,0.5284552
,0.5280234
,0.5281479
,0.5280342
,0.527504
,0.5274491
,0.5273452
,0.5269344
,0.527019
,0.5268949
,0.5262389
,0.5264406
,0.5262607
,0.5256376
,0.5256103
,0.5250314
,0.5248441
,0.5247717
,0.5243096
,0.5241216
,0.5242395
,0.5240741
,0.5237471
,0.5240961
,0.52397
,0.5238526
,0.524016
,0.5238475
,0.5237163
,0.5236558
,0.5235237
,0.523275
,0.5234438
,0.5230883
,0.5230051
